Operation time,Number of operations,Rail point,c2_,c3_,c4_,c5_,sd_,alarms,c3a_,c3ao_
6.52,888.0,Granville:GE715,cluster 1,cluster 1,cluster 1,cluster 1,2.0,5.0,cluster 0,cluster 0
6.5,919.0,Granville:GE716,cluster 1,cluster 1,cluster 1,cluster 1,2.0,9.0,cluster 0,cluster 0
6.8,903.0,Granville:GE717,cluster 1,cluster 1,cluster 1,cluster 1,2.0,11.0,cluster 0,cluster 0
5.34,932.0,Granville:GE720,cluster 1,cluster 1,cluster 1,cluster 1,2.0,7.0,cluster 0,cluster 0
5.41,61.0,Granville:GE721,cluster 0,cluster 0,cluster 0,cluster 0,2.0,4.0,cluster 0,cluster 0
5.43,1030.0,Granville:GE722,cluster 1,cluster 1,cluster 1,cluster 1,2.0,4.0,cluster 0,cluster 0
5.38,624.0,Granville:GE725,cluster 0,cluster 1,cluster 2,cluster 4,2.0,0.0,cluster 0,cluster 0
5.35,213.0,Granville:GE727,cluster 0,cluster 0,cluster 0,cluster 0,2.0,6.0,cluster 0,cluster 0
5.5,1312.0,Granville:GE728,cluster 1,cluster 1,cluster 1,cluster 1,2.0,0.0,cluster 0,cluster 0
5.6,226.0,Granville:GE729,cluster 0,cluster 0,cluster 0,cluster 0,2.0,7.0,cluster 0,cluster 0
